Generations,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Best Fitness Score
Gen 1,200135439,199641503,200861094,200329644,200642876,199641503
Gen 2,200087010,199641503,200861094,200329644,200642876,199641503
Gen 3,199743684,199641503,200444469,200329644,200642876,199641503
Gen 4,199743684,199641503,199841035,200329644,200372869,199641503
Gen 5,199743684,199641503,199841035,200329644,200233817,199641503
Gen 6,199707800,199641503,199841035,200329644,200233817,199641503
Gen 7,199691005,199641503,199841035,199407886,200233817,199407886
Gen 8,199691005,199641503,199841035,199407886,200231441,199407886
Gen 9,199320915,199641503,199841035,199407886,199896517,199320915
Gen 10,199320915,199641503,199841035,199407886,199896517,199320915
Gen 11,199320915,199641503,199841035,199407886,199810057,199320915
Gen 12,199320915,199641503,199225216,199315283,199810057,199225216
Gen 13,199320915,199641503,199225216,199286322,199810057,199225216
Gen 14,199320915,199641503,199225216,199282459,199810057,199225216
Gen 15,199320915,199411179,199094681,199282459,199810057,199094681
Gen 16,199320915,199411179,198875792,199282459,199810057,198875792
Gen 17,199265795,199411179,198838835,199274817,199810057,198838835
Gen 18,199265795,199411179,198838835,199274817,199810057,198838835
Gen 19,199265795,199086298,198838835,199274817,199810057,198838835
Gen 20,199265795,199086298,198838835,199274817,199810057,198838835
Gen 21,199265795,199078943,198838835,199274817,199687757,198838835
Gen 22,199265795,199078943,198838835,199274817,199687757,198838835
Gen 23,199265795,199078943,198838835,199274817,199687757,198838835
Gen 24,199265795,199078943,198838835,199274817,199687757,198838835
Gen 25,199265795,199078943,198838835,199274817,199687757,198838835
Gen 26,199265795,199078943,198838835,199274817,199687757,198838835
Gen 27,199265795,199078943,198838835,199274817,199687757,198838835
Gen 28,199265795,199078943,198838835,199274817,199687757,198838835
Gen 29,199265795,199078943,198838835,199274817,199687757,198838835
Gen 30,199265795,199078943,198838835,199274817,199687757,198838835
Gen 31,199265795,199078943,198838835,199274817,199687757,198838835
Gen 32,199265795,199078943,198838835,199274817,199687757,198838835
Gen 33,199265795,199078943,198838835,199274817,199687757,198838835
Gen 34,199265795,199078943,198838835,199274817,199687757,198838835
Gen 35,199265795,199078943,198838835,199274817,199687757,198838835
Gen 36,199265795,199078943,198838835,199274817,199687757,198838835
Gen 37,199265795,199078943,198838835,199274817,199687757,198838835
Gen 38,199265795,199078943,198838835,199274817,199687757,198838835
Gen 39,199265795,199078943,198838835,199274817,199687757,198838835
Gen 40,199265795,199078943,198838835,199274817,199679498,198838835
Gen 41,199265795,199078943,198838835,199274817,199679498,198838835
Gen 42,199265795,199078943,198838835,199274817,199679498,198838835
Gen 43,199265795,199078943,198838835,199274817,199679498,198838835
Gen 44,199265795,199078943,198838835,199274817,199357354,198838835
Gen 45,199265795,199078943,198838835,199274817,199357354,198838835
Gen 46,199265795,199078943,198838835,199274817,199357354,198838835
Gen 47,199265795,199078943,198838835,199274817,199357354,198838835
Gen 48,199265795,199078943,198838835,199274817,199357354,198838835
Gen 49,199265795,199078943,198838835,199274817,199357354,198838835
Gen 50,199211714,199078943,198838835,199274817,199357354,198838835
