Generations,Iteration 1,Best Fitness Score
Gen 1,199120843,199120843
Gen 2,199120843,199120843
Gen 3,199120843,199120843
Gen 4,199120843,199120843
Gen 5,199120843,199120843
Gen 6,199120843,199120843
Gen 7,199120843,199120843
Gen 8,199120843,199120843
Gen 9,199120843,199120843
Gen 10,199120843,199120843
Gen 11,199120843,199120843
Gen 12,199120843,199120843
Gen 13,199120843,199120843
Gen 14,199120843,199120843
Gen 15,199120843,199120843
Gen 16,199120843,199120843
Gen 17,199120843,199120843
Gen 18,199120843,199120843
Gen 19,199120843,199120843
Gen 20,199120843,199120843
Gen 21,199120843,199120843
Gen 22,199120843,199120843
Gen 23,199120843,199120843
Gen 24,199120843,199120843
Gen 25,199120843,199120843
Gen 26,199120843,199120843
Gen 27,199120843,199120843
Gen 28,199120843,199120843
Gen 29,199120843,199120843
Gen 30,199120843,199120843
Gen 31,199120843,199120843
Gen 32,199120843,199120843
Gen 33,199120843,199120843
Gen 34,199120843,199120843
Gen 35,199120843,199120843
Gen 36,199120843,199120843
Gen 37,199120843,199120843
Gen 38,199120843,199120843
Gen 39,199120843,199120843
Gen 40,199120843,199120843
Gen 41,199120843,199120843
Gen 42,199120843,199120843
Gen 43,199120843,199120843
Gen 44,199120843,199120843
Gen 45,199120843,199120843
Gen 46,199120843,199120843
Gen 47,199120843,199120843
Gen 48,199120843,199120843
Gen 49,199120843,199120843
Gen 50,199120843,199120843
